"","rusher_player_id","posteam","week","Rushes","RushYD","Rush1D","RushTD","eRushYD","eTDRush","eRush1D","eRushFP","RushFP","RushDiff","eRushFP1D","RushFP1D","RushDiff1D","RushGames","Tar","Rec","AYs","RecYD","Rec1D","RecTD","eRecYD","eTDRec","eRec1D","eRecFP","RecFP","RecDiff","eRecFP1D","RecFP1D","RecDiff1D","RecGames","mergename","pos","TeamRushes","TeamRushYD","TeamRush1D","TeamRushTD","eTeamRushFP","TeamRushFP","eTeamRushFP1D","TeamRushFP1D","TeamTar","TeamRec","TeamAYs","TeamRecYD","TeamRec1D","TeamRecTD","eTeamRecFP","TeamRecFP","eTeamRecFP1D","TeamRecFP1D","eTD","eYD","e1D","eFP","FP","Diff","eFP1D","FP1D","Diff1D","eTeamFP","TeamFP","TeamDiff","eTeamFP1D","TeamFP1D","TeamDiff1D","Games"
"2026","00-0034827","CAR",8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,5,120,38,2,0,78.1843236138342,0.22559028873357,2.98829726808719,14.4931262747942,8.8,-5.69312627479423,15.9422998129383,9.8,-6.14229981293829,1,"DJ Moore","WR",19,130,4,1,8.90632974036323,19,11.2624981292592,21,37,19,377,158,8,0,55.8778334034932,34.8,61.4335436049596,38.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,64.7841631438564,53.8,-10.9841631438564,72.6960417342188,59.8,-12.8960417342188,1
"2027","00-0034829","MIA",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,2,58,31,1,0,51.1676484933622,0.0268501025363086,2.10909433012008,9.13134984582069,5.1,-4.03134984582069,10.0756617555742,5.6,-4.47566175557417,1,"Mike Gesicki","TE",12,21,1,0,5.62212379895718,2.1,6.64689159225934,2.6,32,15,451,190,10,1,54.4614980269147,40,59.7808233604319,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,60.0836218258719,42.1,-17.9836218258719,66.4277149526912,47.6,-18.8277149526912,1
"2028","00-0034829","MIA",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,11,11,0,0,11.1987459857242,0.223004733147107,0.363084693171709,3.71765147837049,2.1,-1.61765147837049,3.79577446108812,2.1,-1.69577446108812,1,"Mike Gesicki","TE",15,42,3,0,7.25728435520386,4.2,9.00254504181343,5.7,39,18,488,186,7,0,62.4770606208529,36.6,69.030942064829,40.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,69.7343449760567,40.8,-28.9343449760567,78.0334871066424,45.8,-32.2334871066424,1
"2029","00-0034829","MIA",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,5,9,0,0,15.9292723074164,0.00694330682739384,1.02674618615975,3.89885828682698,3.9,0.00114171317301759,4.44982220139892,3.9,-0.549822201398924,1,"Mike Gesicki","TE",24,72,2,0,14.2003167239257,5.2,16.8656504981176,6.2,41,20,383,229,12,0,63.7912944486646,42.9,72.0898306647824,48.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,77.9916111725903,48.1,-29.8916111725903,88.9554811629,55.1,-33.8554811629,1
"2030","00-0034829","MIA",6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,3,95,51,1,0,59.3780846236007,0.354818600318069,2.40112316467669,12.0561929248644,8.1,-3.95619292486438,13.2294669448553,8.6,-4.62946694485531,1,"Mike Gesicki","TE",21,84,7,1,16.495475492072,14.4,19.2789851342797,17.9,42,27,340,217,10,1,64.7270373794886,54.7,70.9582453185615,59.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,81.2225128715605,69.1,-12.1225128715605,90.2372304528412,77.6,-12.6372304528413,1
"2031","00-0034829","MIA",7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,29,41,2,0,27.4018067002317,0.0106824858158101,1.03025135286785,5.55498371840353,8.1,2.54501628159647,6.02905762978013,9.1,3.07094237021987,1,"Mike Gesicki","TE",30,109,8,2,19.723634696118,22.9,23.4592692603161,26.9,34,23,351,282,13,1,55.211110779424,55.2,60.4416182111529,61.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,74.934745475542,78.1,3.16525452445795,83.900887471469,88.6,4.69911252853103,1
"2032","00-0034830","BAL",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,25,41,2,0,20.4254979112317,0.00902620980238853,1.02774975330298,4.11746364669987,7.1,2.98253635330013,4.71029068878895,8.1,3.38970931121106,1,"Hayden Hurst","TE",44,267,10,2,38.7585961715416,38.7,44.8157941194468,43.7,26,23,263,379,17,6,47.7247221207504,96.9,53.4665336142619,105.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,86.483318292292,135.6,49.1166817077081,98.2823277337087,149.1,50.8176722662913,1
"2033","00-0034830","BAL",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,0.609602957563332,0.505349452886455,0.571428289785297,3.49773751457123,7.1,3.60226248542877,3.78293022229699,7.6,3.81706977770301,1,"Hayden Hurst","TE",31,184,9,0,17.5809105450634,18.4,20.5431286435893,22.9,37,24,428,272,16,2,60.9898376432081,63.2,67.9027624018184,71.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,78.5707481882715,81.6,3.02925181172849,88.4458910454077,94.1,5.65410895459229,1
"2034","00-0034830","BAL",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,2,72,14,1,0,42.0997777667009,0.564483506339811,1.44771196712689,10.1708559679304,3.4,-6.77085596793036,10.7098336233947,3.9,-6.80983362339468,1,"Hayden Hurst","TE",32,203,15,4,26.7133909027054,44.3,31.613240078159,51.8,43,22,510,267,14,0,74.9025457837233,48.7,81.4809734024042,55.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,101.615936686429,93,-8.61593668642873,113.094213480563,107.5,-5.59421348056321,1
"2035","00-0034830","BAL",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,21,39,1,0,18.6296121111933,0.00475134502193096,0.803205282263386,3.15041965317493,5.9,2.74958034682507,3.50093622577765,6.4,2.89906377422235,1,"Hayden Hurst","TE",28,174,11,0,16.3180522603496,15.4,20.4120297476657,20.9,34,24,296,247,12,3,57.6650515734393,66.7,63.1748395660382,72.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,73.9831038337888,82.1,8.11689616621116,83.5868693137039,93.6,10.0131306862962,1
