,spotrac,mfl
1,ATL,ATL
2,CHI,CHI
3,SEA,SEA
4,SF,SFO
5,DET,DET
6,LAR,LAR
7,GB,GBP
8,PHI,PHI
9,OAK,OAK
10,IND,IND
11,DEN,DEN
12,DAL,DAL
13,KC,KCC
14,CAR,CAR
15,HOU,HOU
16,NO,NOS
17,CIN,CIN
18,WAS,WAS
19,CLE,CLE
20,JAC,JAC
21,NYJ,NYJ
22,NYG,NYG
23,MIN,MIN
24,LAC,LAC
25,ARI,ARI
26,TB,TBB
27,TEN,TEN
28,MIA,MIA
29,NE,NEP
30,PIT,PIT
31,BAL,BAL
32,BUF,BUF
